store_id,dept_id,avg_holdiay_sales,avg_non_holiday_sales,holiday_delta,holiday_lift_pct,total_holiday_sales,total_non_holiday_sales,holiday_weeks,non_holiday_weeks
12,38,62625.26,50903.752666667,11721.507333333,0.23026804,62625.26,763556.29,1,15
20,26,13863.436666667,14155.549090909,-292.112424242,-0.020635895,41590.31,155711.04,3,11
23,33,9169.185,11587.9525,-2418.7675,-0.208731223,36676.74,231759.05,4,20
25,98,595.886666667,550.011666667,45.875,0.083407322,1787.66,6600.14,3,12
26,98,,8137.916428571,,,0,113930.83,0,14
26,71,,3187.218823529,,,0,54182.72,0,17
39,74,27639.86,21954.866111111,5684.993888889,0.258940039,27639.86,395187.59,1,18
40,9,16401.225,18091.485,-1690.26,-0.093428483,32802.45,253280.79,2,14
40,20,,3484.8625,,,0,41818.35,0,12
40,12,,4338.267058824,,,0,73750.54,0,17
3,97,316.173333333,384.678461538,-68.505128205,-0.178084128,948.52,5000.82,3,13
24,36,976.3,2002.823076923,-1026.523076923,-0.512538071,1952.6,26036.7,2,13
32,91,,48526.811111111,,,0,873482.6,0,18
32,47,,-29,,,0,-58,0,2
33,31,,20.72,,,0,82.88,0,4
37,6,54.26,35.194444444,19.065555556,0.5417206,108.52,316.75,2,9
4,8,64301.1,62117.8505,2183.2495,0.035146894,64301.1,1242357.01,1,20
5,90,2661.1,3175.51,-514.41,-0.161992877,2661.1,60334.69,1,19
8,5,19878.665,19655.763333333,222.901666667,0.01134027,39757.33,412771.03,2,21
8,17,9835.48,7646.675263158,2188.804736842,0.286242669,29506.44,145286.83,3,19
10,93,1507.82,1441.0725,66.7475,0.046317933,1507.82,17292.87,1,12
13,13,48302.675,48124.6664,178.0086,0.003698906,96605.35,1203116.66,2,25
20,80,41676.98,39261.2925,2415.6875,0.061528476,41676.98,628180.68,1,16
21,11,9772.19,13407.855416667,-3635.665416667,-0.271159354,9772.19,321788.53,1,24
27,8,,41635.095882353,,,0,707796.63,0,17
28,52,3182.425,2768.883809524,413.541190476,0.149353031,6364.85,58146.56,2,21
29,46,11931.96,10994.691818182,937.268181818,0.085247335,11931.96,120941.61,1,11
33,92,38636.56,33411.947777778,5224.612222222,0.156369579,38636.56,601415.06,1,18
33,9,9.85,42.868571429,-33.018571429,-0.770227939,19.7,600.16,2,14
40,7,,17104.061333333,,,0,256560.92,0,15
2,42,,9051.6895,,,0,181033.79,0,20
4,25,13952.35,15367.233333333,-1414.883333333,-0.092071442,13952.35,230508.5,1,15
18,60,105.6,150.5,-44.9,-0.29833887,105.6,1204,1,8
23,10,24410.86,31376.845384615,-6965.985384615,-0.222010381,24410.86,407898.99,1,13
29,42,3766.893333333,3707.135,59.758333333,0.016119816,11300.68,37071.35,3,10
39,5,,25410.26,,,0,355743.64,0,14
40,99,0.07,46.012,-45.942,-0.998478658,0.07,230.06,1,5
1,12,12566.45,10849.290625,1717.159375,0.158273885,12566.45,173588.65,1,16
13,51,,70.5,,,0,282,0,4
26,92,108022.43,84537.266,23485.164,0.277808416,108022.43,1268058.99,1,15
26,32,4607.13,5712.086666667,-1104.956666667,-0.19344186,4607.13,85681.3,1,15
27,49,,11019.728333333,,,0,198355.11,0,18
31,21,,4630.157058824,,,0,78712.67,0,17
38,11,,739.788571429,,,0,15535.56,0,21
43,13,,17548.912857143,,,0,245684.78,0,14
4,36,1535.08,3062.757222222,-1527.677222222,-0.498791485,3070.16,55129.63,2,18
5,91,1020.33,1558.035,-537.705,-0.345117408,1020.33,21812.49,1,14
5,32,2874.55,2759.475,115.075,0.041701773,2874.55,49670.55,1,18
14,45,,19.28,,,0,57.84,0,3
24,10,30149.28,26039.648571429,4109.631428571,0.157822077,30149.28,364555.08,1,14
24,19,59.37,85.97,-26.6,-0.309410259,118.74,1289.55,2,15
25,40,,43063.005384615,,,0,559819.07,0,13
29,28,320.06,731.364666667,-411.304666667,-0.562379734,320.06,10970.47,1,15
32,26,3506.32,5993.724285714,-2487.404285714,-0.415001453,3506.32,83912.14,1,14
33,96,10038.11,8990.342,1047.768,0.116543731,40152.44,89903.42,4,10
38,59,,62.728333333,,,0,752.74,0,12
41,44,7971.75,4176.335833333,3795.414166667,0.908790461,7971.75,50116.03,1,12
44,94,23659.626666667,23717.690909091,-58.064242424,-0.002448141,70978.88,521789.2,3,22
19,21,7099.125,6905.705384615,193.419615385,0.028008669,14198.25,89774.17,2,13
21,22,,8366.370666667,,,0,125495.56,0,15
27,27,2951.68,1893.436470588,1058.243529412,0.558900996,2951.68,32188.42,1,17
37,80,10659.96,10827.794,-167.834,-0.015500295,21319.92,216555.88,2,20
1,22,,7740.91,,,0,147077.29,0,19
10,18,39021.795,6435.927142857,32585.867857143,5.063119444,78043.59,45051.49,2,7
29,90,11384.145,10885.311818182,498.833181818,0.045826265,22768.29,119738.43,2,11
32,29,3528.41,3146.001363636,382.408636364,0.121553869,3528.41,69212.03,1,22
41,93,,34876.504375,,,0,558024.07,0,16
7,58,540,1012,-472,-0.466403162,1080,12144,2,12
15,6,3304.83,3869.980666667,-565.150666667,-0.146034494,3304.83,58049.71,1,15
30,31,64,60.961428571,3.038571429,0.049844164,64,426.73,1,7
1,16,,21002.050769231,,,0,273026.66,0,13
11,7,,27143.283333333,,,0,325719.4,0,12
17,56,624.785,2205.433333333,-1580.648333333,-0.716706467,1249.57,33081.5,2,15
32,30,,2214.785294118,,,0,37651.35,0,17
34,72,52522.43,31798.24,20724.19,0.651740159,52522.43,540570.08,1,17
45,3,7843.14,9048.608125,-1205.468125,-0.133221387,7843.14,144777.73,1,16
13,23,20763.81,34749.521818182,-13985.711818182,-0.402472065,20763.81,382244.74,1,11
15,46,13007.405,12130.205882353,877.199117647,0.07231527,26014.81,206213.5,2,17
25,90,12792.34,11624.576666667,1167.763333333,0.100456418,38377.02,209242.38,3,18
1,46,18826.47,21816.541428571,-2990.071428571,-0.137055245,18826.47,305431.58,1,14
15,16,9152.77,18717.416666667,-9564.646666667,-0.511002498,9152.77,280761.25,1,15
44,28,81.305,70.195384615,11.109615385,0.158267035,162.61,912.54,2,13
4,56,,7541.776666667,,,0,113126.65,0,15
19,27,2950.0125,1935.600833333,1014.411666667,0.524081024,11800.05,23227.21,4,12
1,81,31047.79,29201.8075,1845.9825,0.063214666,31047.79,350421.69,1,12
25,35,1242,2712.022352941,-1470.022352941,-0.542039173,1242,46104.38,1,17
31,37,,3040.692,,,0,60813.84,0,20
13,18,,10795.9975,,,0,172735.96,0,16
42,20,,54.0275,,,0,216.11,0,4
27,23,33732.195,38600.646923077,-4868.451923077,-0.126123584,67464.39,501808.41,2,13
36,82,5144.84,4765.059,379.781,0.079701217,10289.68,95301.18,2,20
35,91,8160.07,8280.179375,-120.109375,-0.014505649,8160.07,132482.87,1,16
28,93,,48253.36,,,0,772053.76,0,16
31,67,4861.44,5779.556428571,-918.116428571,-0.158855864,4861.44,80913.79,1,14
33,25,,20.495833333,,,0,245.95,0,12
26,99,,68.346666667,,,0,410.08,0,6
19,18,,6445.551,,,0,64455.51,0,10
7,5,17893.63,12610.715789474,5282.914210526,0.418922629,17893.63,239603.6,1,19
33,33,,15.44,,,0,15.44,0,1
10,78,,0,,,0,0,0,1
8,77,,363,,,0,363,0,1
1,51,28.11,59.55,-31.44,-0.527959698,28.11,297.75,1,5
35,78,3,,,,3,0,1,0
36,49,5,,,,5,0,1,0
38,33,6,5.97,0.03,0.005025126,6,5.97,1,1
32,51,,22.976666667,,,0,68.93,0,3
25,78,,7,,,0,7,0,1
26,51,,17.16,,,0,85.8,0,5
30,41,7.25,8.666666667,-1.416666667,-0.163461538,7.25,26,1,3
19,78,,10,,,0,10,0,1
27,99,,20,,,0,20,0,1
33,71,,5,,,0,5,0,1
17,77,0,,,,0,0,1,0
22,78,,-12,,,0,-12,0,1
32,48,,-45.84,,,0,-45.84,0,1
1,38,77853.645,81666.531538462,-3812.886538462,-0.046688484,155707.29,1061664.91,2,13
2,25,11574.68,14922.001,-3347.321,-0.224321189,11574.68,298440.02,1,20
3,5,5868.25,11920.380588235,-6052.130588235,-0.507712866,5868.25,202646.47,1,17
6,46,28204.44,27827.346315789,377.093684211,0.013551191,28204.44,528719.58,1,19
7,85,,1979.726,,,0,39594.52,0,20
11,29,,9469.471666667,,,0,113633.66,0,12
12,29,,6704.178636364,,,0,147491.93,0,22
13,71,13643.28,10264.123846154,3379.156153846,0.329220127,13643.28,133433.61,1,13
13,7,92975.183333333,55278.309090909,37696.874242424,0.681946949,278925.55,1216122.8,3,22
14,67,13365.11,19770.190769231,-6405.080769231,-0.32397668,13365.11,257012.48,1,13
19,92,125067.37,113939.372666667,11127.997333333,0.097665952,125067.37,1709090.59,1,15
23,58,4195,2777.428571429,1417.571428571,0.510389878,4195,38884,1,14
23,82,,19325.825454545,,,0,212584.08,0,11
29,26,6940.34,4166.410625,2773.929375,0.665783962,6940.34,66662.57,1,16
30,25,24.25,38.413333333,-14.163333333,-0.368708782,24.25,691.44,1,18
30,82,,4362.704666667,,,0,65440.57,0,15
31,33,,4327.215714286,,,0,60581.02,0,14
40,33,,2985.55,,,0,35826.6,0,12
40,67,5997.22,6815.0075,-817.7875,-0.119998034,5997.22,136300.15,1,20
41,17,14780.99,12022.647222222,2758.342777778,0.229428904,29561.98,216407.65,2,18
42,52,,36.423,,,0,728.46,0,20
43,14,1716.9,1593.7705,123.1295,0.077256732,1716.9,31875.41,1,20
43,67,1022.686666667,1667.247857143,-644.561190476,-0.386601901,3068.06,23341.47,3,14
2,20,6135.935,5591.8695,544.0655,0.097295815,12271.87,111837.39,2,20
8,92,57032.37,60991.6,-3959.23,-0.064914349,114064.74,1219832,2,20
11,12,4549.3,4450.419230769,98.880769231,0.022218304,4549.3,57855.45,1,13
11,27,,2521.156923077,,,0,32775.04,0,13
15,79,9619.71,8219.512777778,1400.197222222,0.170350392,19239.42,147951.23,2,18
18,83,1018.71,1258.974166667,-240.264166667,-0.190841221,2037.42,15107.69,2,12
20,58,5020.333333333,4732.473684211,287.859649122,0.060826466,15061,89917,3,19
21,81,5127.9,5207.567142857,-79.667142857,-0.015298342,5127.9,109358.91,1,21
22,82,,16005.068666667,,,0,240076.03,0,15
25,36,949.63,1266.181333333,-316.551333333,-0.250004739,1899.26,18992.72,2,15
29,23,14219.85,19444.576875,-5224.726875,-0.268698409,14219.85,311113.23,1,16
31,18,11306.9375,3956.90375,7350.03375,1.85752149,45227.75,63310.46,4,16
35,30,6219.34,6308.02,-88.68,-0.014058294,6219.34,94620.3,1,15
40,2,28201.81,25778.598235294,2423.211764706,0.094000913,28201.81,438236.17,1,17
44,91,,17529.617333333,,,0,262944.26,0,15
1,58,2560,3503.274444444,-943.274444444,-0.269255081,2560,63058.94,1,18
2,52,3934.69,3749.490666667,185.199333333,0.049393198,3934.69,56242.36,1,15
5,74,4378.7,3350.959,1027.741,0.306700559,8757.4,33509.59,2,10
8,58,2714,2620,94,0.035877863,2714,28820,1,11
9,32,,6024.978636364,,,0,132549.53,0,22
10,4,,49277.792307692,,,0,640611.3,0,13
12,94,628.94,224.831428571,404.108571429,1.797384707,628.94,3147.64,1,14
17,34,8296.6225,10374.495,-2077.8725,-0.200286616,33186.49,145242.93,4,14
18,42,6784.77,6921.81826087,-137.04826087,-0.01979946,6784.77,159201.82,1,23
23,16,,33806.46,,,0,405677.52,0,12
23,85,,5205.8665,,,0,104117.33,0,20
26,18,11278.41,2325.16,8953.25,3.850595228,11278.41,18601.28,1,8
29,19,77,27,50,1.851851852,77,216,1,8
31,49,5580.54,8523.83,-2943.29,-0.345301349,5580.54,170476.6,1,20
32,11,13972.61,14970.532173913,-997.922173913,-0.066659098,13972.61,344322.24,1,23
34,93,,29880.0312,,,0,747000.78,0,25
35,28,614.28,667.833181818,-53.553181818,-0.080189459,1228.56,14692.33,2,22
37,96,26967.78,19996.646666667,6971.133333333,0.348615118,26967.78,299949.7,1,15
41,81,,19815.5475,,,0,237786.57,0,12
42,74,62.51,233.84125,-171.33125,-0.732681894,62.51,3741.46,1,16
4,79,50745.05,53062.263333333,-2317.213333333,-0.043669704,101490.1,636747.16,2,12
4,12,,8523.432083333,,,0,204562.37,0,24
8,87,,19166.303846154,,,0,249161.95,0,13
10,33,,12567.238235294,,,0,213643.05,0,17
11,85,,1928.707857143,,,0,27001.91,0,14
12,6,,6602.55875,,,0,105640.94,0,16
15,44,2772.61,3096.141111111,-323.531111111,-0.10449495,2772.61,55730.54,1,18
17,83,,583.249285714,,,0,8165.49,0,14
22,56,2626.63,3661.885555556,-1035.255555556,-0.282711062,2626.63,65913.94,1,18
24,94,,54103.191818182,,,0,595135.11,0,11
25,33,,2930.099444444,,,0,52741.79,0,18
34,20,,3101.376875,,,0,49622.03,0,16
36,60,106.5,179.742857143,-73.242857143,-0.407486886,213,3774.6,2,21
37,94,,34522.547333333,,,0,517838.21,0,15
37,40,23741.13,26930.888461538,-3189.758461538,-0.118442378,23741.13,350101.55,1,13
39,52,1976.676666667,1747.347777778,229.328888889,0.131243987,5930.03,15726.13,3,9
41,48,1610,981.727272727,628.272727273,0.639966664,6440,10799,4,11
42,7,,742.44952381,,,0,15591.44,0,21
43,79,,13264.955,,,0,185709.37,0,14
45,13,29179.12,26896.11875,2283.00125,0.084882182,29179.12,215168.95,1,8
5,79,4511.365,4934.125,-422.76,-0.085680845,9022.73,69077.75,2,14
7,26,2321.66,1620.629444444,701.030555556,0.432566839,2321.66,29171.33,1,18
20,50,4588.07,3613.548571429,974.521428571,0.269685438,4588.07,50589.68,1,14
26,49,2858.39,4034.506428571,-1176.116428571,-0.291514328,2858.39,56483.09,1,14
30,59,151.884,102.065217391,49.818782609,0.488107348,759.42,2347.5,5,23
31,82,16626.64,21012.89,-4386.25,-0.20874092,16626.64,420257.8,1,20
33,87,,447.07,,,0,4023.63,0,9
33,46,,1906.637222222,,,0,34319.47,0,18
6,10,50373.73,47231.52047619,3142.20952381,0.066527808,100747.46,991861.93,2,21
11,18,,8997.365384615,,,0,116965.75,0,13
13,81,29366.663333333,33576.69,-4210.026666667,-0.125385399,88099.99,402920.28,3,12
16,12,1837.7,4825.012222222,-2987.312222222,-0.619130498,1837.7,43425.11,1,9
18,40,65614.253333333,62510.22,3104.033333333,0.049656414,196842.76,687612.42,3,11
30,91,31829.493333333,31045.543684211,783.949649122,0.0252516,95488.48,589865.33,3,19
32,60,1029.6,819.8,209.8,0.255916077,1029.6,19675.2,1,24
32,38,67967.3,62189.634545455,5777.665454545,0.092903994,67967.3,684085.98,1,11
37,18,,587.076,,,0,5870.76,0,10
41,56,972.013333333,8219.275882353,-7247.26254902,-0.881739785,2916.04,139727.69,3,17
42,11,,1064.579166667,,,0,12774.95,0,12
44,38,40691.68,46294.197894737,-5602.517894737,-0.121019872,40691.68,879589.76,1,19
6,98,9871.68,9312.97,558.71,0.059992677,19743.36,130381.58,2,14
12,3,,17006.470909091,,,0,187071.18,0,11
14,97,31528.906666667,24598.999,6929.907666667,0.281715027,94586.72,245989.99,3,10
18,6,6511.985,4314.963333333,2197.021666667,0.509163461,13023.97,38834.67,2,9
24,42,6770.43,6006.744666667,763.685333333,0.127137972,6770.43,90101.17,1,15
26,97,12073.77,16259.486875,-4185.716875,-0.257432286,12073.77,260151.79,1,16
40,22,12144.81,6857.421428571,5287.388571429,0.771046176,12144.81,96003.9,1,14
2,58,,21029.5,,,0,252354,0,12
2,33,,7174.151578947,,,0,136308.88,0,19
4,4,,55853.379473684,,,0,1061214.21,0,19
5,33,1100.116666667,1467.2925,-367.175833333,-0.25024038,3300.35,29345.85,3,20
7,4,16805.65,15516.790909091,1288.859090909,0.083062219,33611.3,341369.4,2,22
8,46,,18447.844761905,,,0,387404.74,0,21
28,44,3873.975,4096.69625,-222.72125,-0.054366064,7747.95,32773.57,2,8
29,8,,20705.043529412,,,0,351985.74,0,17
31,13,43602.33,43573.9875,28.3425,0.000650445,43602.33,697183.8,1,16
41,98,8281.7,9195.303846154,-913.603846154,-0.099355482,16563.4,119538.95,2,13
43,6,17.76,41.861538462,-24.101538462,-0.575744212,17.76,544.2,1,13
43,74,1016.89,607.81,409.08,0.673039272,1016.89,10940.58,1,18
44,14,808.84,780.492222222,28.347777778,0.036320385,808.84,14048.86,1,18
45,60,,182.626666667,,,0,2739.4,0,15
3,14,,4805.673684211,,,0,91307.8,0,19
22,77,,198,,,0,198,0,1
29,31,,2651.143076923,,,0,34464.86,0,13
35,35,,2995.518823529,,,0,50923.82,0,17
44,1,10387.91,7793.856,2594.054,0.332833196,10387.91,155877.12,1,20
2,72,,68204.844285714,,,0,954867.82,0,14
3,33,1791.8,3235.218,-1443.418,-0.446157879,1791.8,32352.18,1,10
4,6,7244.635,7921.418,-676.783,-0.085437102,14489.27,118821.27,2,15
7,32,,4564.576666667,,,0,54774.92,0,12
9,56,1342.6,2241.038,-898.438,-0.400902617,1342.6,33615.57,1,15
12,45,,24.81,,,0,198.48,0,8
16,31,1373.14,1031.385,341.755,0.33135541,1373.14,18564.93,1,18
18,92,,46495.388235294,,,0,790421.6,0,17
19,96,16023.01,15908.168461538,114.841538462,0.00721903,16023.01,206806.19,1,13
19,32,8079.13,8520.446875,-441.316875,-0.051795039,8079.13,136327.15,1,16
28,60,587.4,638.44,-51.04,-0.079944866,2349.6,9576.6,4,15
29,91,,4797.700555556,,,0,86358.61,0,18
39,35,,2042.544705882,,,0,34723.26,0,17
41,83,4099.06,3532.961538462,566.098461538,0.160233406,4099.06,45928.5,1,13
42,28,,52.895454545,,,0,581.85,0,11
2,32,,11101.592222222,,,0,199828.66,0,18
5,54,61.36,65.28,-3.92,-0.06004902,122.72,848.64,2,13
7,44,4915.96,3391.014705882,1524.945294118,0.449701764,4915.96,57647.25,1,17
9,42,2788.3,2939.192941176,-150.892941176,-0.051338222,13941.5,49966.28,5,17
11,3,14538.195,16497.8675,-1959.6725,-0.118783382,29076.39,263965.88,2,16
27,37,2127.195,2584.425,-457.23,-0.176917496,4254.39,41350.8,2,16
